Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
2,299.0,309.0,1351,52.2,44,0
2,299.0,309.0,1575,35.3,47,0
2,298.9,308.9,1750,29.9,50,0
1,298.9,308.8,1529,32.7,53,0
1,298.8,308.8,1523,44.4,55,0
1,298.8,308.9,1852,25.0,57,0
1,298.8,308.8,1991,20.7,59,0
1,298.8,308.8,1555,40.6,61,0
2,298.8,308.8,1441,40.5,63,0
1,298.8,308.7,1450,43.4,66,0
1,298.8,308.7,1591,31.1,68,0
1,298.8,308.7,1445,48.5,70,0
2,298.8,308.8,1497,46.8,72,0
0,298.9,308.8,1621,32.7,75,0
1,298.9,308.7,1572,34.1,80,0
1,298.8,308.6,1872,22.5,82,0
0,298.7,308.6,1499,43.5,84,0
2,298.8,308.7,1498,39.5,89,0
2,298.8,308.6,1486,41.9,92,0
1,298.8,308.6,1680,29.4,95,0
1,298.8,308.6,1431,45.7,97,0
1,298.9,308.7,1564,34.1,99,0
1,298.8,308.6,1599,33.0,101,0
2,298.8,308.6,1707,28.1,103,0
1,298.7,308.5,1467,40.7,106,0
1,298.9,308.7,1433,44.7,108,0
1,298.9,308.7,1558,41.2,110,0
1,299.0,308.8,1310,50.7,112,0
1,298.9,308.7,1546,43.4,114,0
1,298.9,308.7,1727,29.4,116,0
1,298.9,308.6,1560,32.2,118,0
1,299.0,308.6,1329,60.5,120,0
1,298.9,308.6,1413,46.5,122,0
1,299.0,308.6,1587,38.6,124,0
1,298.9,308.5,1559,34.3,126,0
1,298.8,308.4,1473,41.1,128,0
1,298.8,308.4,1737,27.7,130,0
2,298.7,308.4,1441,43.2,132,0
2,298.7,308.4,1430,49.6,135,0
1,298.8,308.4,1369,53.0,138,0
2,298.8,308.5,1711,28.5,140,0
0,298.7,308.5,1420,45.7,143,0
1,298.7,308.6,1297,55.3,148,0
0,298.8,308.6,1449,49.4,150,0
1,298.8,308.6,1268,55.8,155,0
1,298.8,308.6,1511,36.1,157,0
1,298.7,308.5,1544,35.2,159,0
2,298.6,308.4,1778,28.2,161,0
0,298.6,308.4,1407,50.5,164,0
2,298.6,308.4,1391,42.4,169,0
1,298.5,308.4,1513,33.6,172,0
0,298.5,308.4,1612,36.1,174,0
1,298.4,308.4,1515,40.1,179,0
2,298.3,308.3,1379,48.0,181,0
1,298.4,308.3,1473,39.9,184,0
1,298.4,308.3,1422,42.7,186,0
2,298.4,308.2,1463,37.6,188,0
2,298.4,308.2,1584,41.0,191,0
1,298.4,308.2,1850,27.0,194,0
1,298.4,308.2,1528,36.2,196,0
0,298.4,308.2,1987,19.8,198,0
2,298.4,308.1,1495,46.0,203,0
0,298.4,308.2,1478,43.5,206,0
2,298.4,308.2,1499,40.0,211,0
1,298.4,308.2,1471,47.0,214,0
1,298.3,308.1,1586,35.5,0,0
2,298.4,308.2,1468,43.8,2,0
2,298.5,308.3,1440,43.6,5,0
1,298.5,308.4,1733,26.0,8,0
0,298.4,308.2,1612,32.6,10,0
0,298.4,308.3,1458,42.9,15,0
1,298.4,308.3,1318,59.1,22,0
2,298.4,308.2,1610,35.0,24,0
1,298.2,308.1,1462,50.8,27,0
2,298.1,308.0,1924,20.8,29,0
2,298.2,308.0,1591,33.7,32,0
1,298.2,308.1,1306,58.3,35,0
1,298.2,308.1,1382,43.5,37,0
1,298.2,308.1,1618,34.7,39,0
1,298.2,308.2,1988,21.4,41,0
1,298.2,308.2,1436,50.2,43,0
1,298.2,308.3,1304,49.8,45,0
1,298.2,308.3,1475,49.9,47,0
0,298.2,308.3,1824,24.2,49,0
2,298.1,308.2,1342,48.1,54,0
1,298.1,308.2,1485,40.7,57,0
1,298.2,308.2,1667,30.6,59,0
1,298.2,308.2,1446,38.2,61,0
1,298.1,308.3,1301,56.0,63,0
1,298.2,308.4,1379,43.1,65,0
1,298.3,308.5,1606,33.6,67,0
2,298.3,308.4,1539,43.4,69,0
1,298.2,308.4,1477,49.9,72,0
1,298.2,308.4,1666,34.6,74,0
0,298.2,308.4,1398,51.8,76,0
0,298.2,308.4,1678,34.6,81,0
1,298.3,308.5,1453,42.9,89,0
0,298.3,308.6,1432,49.5,91,0
2,298.4,308.6,1527,40.9,96,0
1,298.4,308.7,1588,35.0,99,0
1,298.4,308.6,1433,47.1,101,0
1,298.4,308.6,1609,35.0,103,0
1,298.3,308.5,1575,41.2,105,0
2,298.4,308.5,1636,35.7,107,0
1,298.4,308.5,1490,37.9,110,0
1,298.4,308.5,1741,32.8,112,0
2,298.5,308.6,1344,53.0,114,0
1,298.5,308.7,1609,35.3,117,0
1,298.4,308.6,1591,36.7,122,0
1,298.4,308.6,1477,44.0,124,0
1,298.4,308.7,1523,36.1,126,0
1,298.5,308.7,1575,33.9,128,0
0,298.4,308.7,1344,52.9,130,0
1,298.4,308.7,1386,44.9,135,0
2,298.3,308.6,1589,37.1,137,0
1,298.3,308.6,1548,40.3,140,0
1,298.3,308.6,1499,38.3,142,0
1,298.3,308.5,1664,31.6,144,0
1,298.3,308.6,1447,38.1,146,0
2,298.3,308.5,1434,46.2,148,0
1,298.3,308.5,1416,52.7,151,0
0,298.4,308.5,1827,24.3,153,0
1,298.4,308.6,1304,45.0,158,0
1,298.4,308.6,1569,34.4,160,0
1,298.3,308.6,1584,29.3,162,0
1,298.3,308.5,1362,53.8,164,0
1,298.3,308.4,1329,49.2,166,0
1,298.3,308.5,1539,36.1,168,0
2,298.3,308.5,1629,37.1,170,0
1,298.3,308.5,1538,32.2,173,0
1,298.3,308.6,1570,34.8,175,0
1,298.3,308.4,1408,43.1,177,0
1,298.2,308.4,1424,47.6,179,0
1,298.2,308.4,1512,34.9,181,0
1,298.2,308.4,1478,42.9,183,0
2,298.1,308.3,1680,33.7,185,0
1,298.1,308.3,1495,38.7,188,0
2,298.0,308.1,1552,36.6,190,0
1,297.9,308.1,1393,50.3,193,0
1,298.0,308.2,1611,30.6,195,0
2,298.0,308.1,1339,51.6,197,0
1,298.0,308.1,1777,24.3,200,0
1,298.0,308.2,1442,44.1,204,0
2,298.0,308.2,1395,49.1,206,0
2,297.9,308.1,1627,31.4,209,0
1,297.9,308.1,1585,33.5,212,0
1,298.0,308.2,1469,45.5,214,0
1,298.0,308.3,1662,32.7,0,0
2,298.0,308.2,1466,42.6,2,0
1,298.0,308.2,1620,35.8,5,0
1,298.0,308.2,1357,48.2,7,0
1,298.0,308.2,1514,37.9,9,0
1,298.0,308.2,1489,40.4,11,0
1,298.1,308.3,1331,63.0,13,0
1,298.0,308.0,1615,29.5,15,0
1,298.1,308.2,1482,37.9,17,0
2,298.2,308.3,1522,49.1,22,0
1,298.1,308.2,1654,32.1,25,0
2,298.1,308.2,1736,26.8,27,0
2,298.0,308.1,1587,32.3,30,0
1,298.1,308.2,1390,47.5,33,0
1,298.0,308.1,1454,37.1,35,0
0,298.0,308.1,1440,43.7,37,0
1,297.9,308.0,1954,21.1,42,0
0,297.9,308.0,1800,24.8,44,0
1,298.0,308.0,1524,37.0,49,0
0,298.0,308.0,1520,39.6,51,0
2,298.1,308.1,1452,40.8,56,0
1,298.1,308.1,1484,40.4,59,0
1,298.1,308.0,1426,46.0,61,0
1,298.1,308.0,1652,28.5,63,0
1,298.0,308.0,1401,54.7,65,0
2,298.0,307.9,1750,26.6,67,0
0,298.0,308.0,1479,50.7,70,0
2,298.0,308.0,1620,29.4,75,0
1,298.0,308.1,1819,23.4,78,0
2,298.1,308.1,1456,43.7,80,0
1,298.1,308.0,1626,36.5,83,0
2,298.1,308.1,1390,49.8,85,0
1,298.2,308.2,1469,43.0,88,0
1,298.2,308.3,2051,19.2,90,0
1,298.2,308.3,1568,36.0,92,0
1,298.2,308.3,1589,33.2,94,0
1,298.2,308.3,1805,31.6,96,0
0,298.2,308.4,1385,42.2,98,0
1,298.1,308.4,1436,46.7,103,0
1,298.1,308.4,1438,45.6,105,0
1,298.0,308.3,1473,42.6,107,0
1,298.1,308.4,1335,40.2,109,0
0,298.1,308.5,1392,44.8,111,0
2,298.1,308.5,1372,51.1,116,0
2,298.1,308.6,1716,30.7,119,0
1,298.0,308.5,1395,46.2,122,0
1,298.0,308.5,1713,25.3,124,0
0,297.9,308.5,2129,18.7,126,0
2,297.8,308.3,1567,35.6,131,0
1,297.8,308.4,1622,38.3,134,0
1,297.7,308.4,1740,27.1,136,0
0,297.8,308.4,1512,35.1,138,0
2,297.8,308.4,1479,43.5,143,0
1,297.8,308.4,1737,27.5,146,0
1,297.8,308.4,2129,19.2,148,0
1,297.8,308.4,1374,47.1,150,0
2,297.8,308.4,1579,36.6,152,0
1,297.9,308.5,1305,47.2,155,0
2,297.9,308.5,1449,40.8,157,0
0,298.0,308.6,1526,41.8,160,0
2,298.0,308.6,1453,44.1,165,0
1,297.9,308.6,1468,36.0,168,0
1,298.0,308.6,1313,50.8,170,0
2,297.9,308.5,1300,53.0,172,0
1,297.9,308.4,1646,40.6,175,0
1,297.8,308.4,1714,33.2,177,0
1,297.8,308.4,1685,28.4,179,0
1,297.8,308.4,1512,39.9,181,0
1,297.8,308.4,1612,32.1,183,0
0,297.8,308.4,1550,38.2,185,0
1,297.8,308.4,1518,32.5,190,0
1,297.8,308.5,1448,40.0,192,0
1,297.8,308.5,1561,46.3,194,0
2,297.8,308.5,1488,41.9,196,0
1,297.8,308.5,1699,27.8,199,0
1,297.7,308.5,1501,41.4,201,0
0,297.6,308.4,1703,31.4,205,0
0,297.7,308.5,1720,29.9,210,0
2,297.6,308.4,1398,41.9,215,0
2,297.6,308.4,1391,51.9,218,0
2,297.6,308.3,1538,40.2,0,0
1,297.5,308.2,1647,31.3,3,0
2,297.5,308.1,1469,44.8,5,0
1,297.4,308.1,1749,25.9,8,0
2,297.6,308.2,1995,20.5,10,0
1,297.6,308.3,1742,27.7,13,0
1,297.5,308.2,1563,38.2,15,0
2,297.5,308.2,1713,32.2,17,0
1,297.4,308.1,1474,39.4,20,0
2,297.4,308.2,1530,32.6,22,0
1,297.4,308.2,1471,46.5,25,0
1,297.5,308.3,1388,48.6,27,0
2,297.5,308.2,2448,13.8,29,0
1,297.5,308.3,1585,32.9,32,0
2,297.5,308.3,1459,45.2,34,0
1,297.5,308.3,1544,40.8,37,0
1,297.6,308.3,1617,31.7,39,0
1,297.6,308.3,1595,34.3,41,0
0,297.6,308.3,1400,44.3,43,0
2,297.6,308.4,1611,31.0,48,0
1,298.9,309.1,2861,4.6,143,1
1,298.9,309.0,1410,65.7,191,1
1,298.8,308.9,1455,41.3,208,1
1,298.4,308.2,1282,60.7,216,1
1,298.3,308.1,1412,52.3,218,1
1,298.4,308.3,1433,62.3,20,1
2,298.2,308.5,2678,10.7,86,1
2,298.4,308.7,1421,60.7,119,1
1,298.0,308.2,1348,58.8,202,1
1,298.0,308.3,1362,56.8,216,1
1,298.0,308.3,1405,56.2,218,1
2,298.1,308.2,1420,63.9,19,1
1,297.7,308.5,1373,56.7,203,1
1,297.5,308.3,2564,12.8,127,1
1,297.4,308.5,1399,61.5,61,1
1,297.4,308.7,2874,4.2,118,1
1,297.6,309.6,1501,49.8,222,1
1,297.9,309.8,1336,71.6,31,1
1,296.8,308.1,1289,62.0,199,1
1,296.4,307.4,2833,5.6,213,1
2,295.8,306.3,1235,76.2,89,1
1,295.7,306.2,2270,14.6,149,1
1,295.6,306.1,1372,55.6,215,1
2,296.3,307.2,1319,68.3,24,1
1,297.0,307.8,1385,56.4,202,1
0,296.9,307.8,1549,35.8,206,1
1,296.9,307.5,2721,9.3,18,1
0,296.6,307.7,1386,62.3,100,1
2,296.7,307.8,1258,69.0,105,1
1,297.0,307.9,1296,69.1,153,1
1,297.0,307.8,1316,61.2,200,1
1,296.9,307.8,1400,57.1,202,1
1,297.0,308.1,1362,52.5,213,1
1,298.4,309.5,2153,15.3,98,1
2,298.8,310.1,1243,74.5,194,1
1,299.0,310.4,1365,49.1,226,1
1,299.0,310.4,1371,53.8,228,1
1,298.9,310.2,2737,8.8,142,1
1,298.7,309.8,1354,53.3,212,1
0,298.8,309.9,1439,45.2,40,1
2,298.0,308.7,1479,58.5,176,1
1,298.0,308.7,1268,69.4,189,1
1,298.0,308.5,1429,37.7,220,1
1,298.2,308.4,1310,61.0,189,1
1,298.0,308.2,1365,52.9,218,1
0,297.9,307.4,1604,36.1,225,1
1,298.2,307.6,1511,31.0,209,1
1,298.3,308.0,2886,3.8,57,1
1,298.2,307.9,1313,67.3,67,1
1,298.1,307.7,2567,12.8,125,1
1,297.8,307.3,1327,61.0,186,1
2,298.4,308.0,1416,38.2,198,1
1,298.5,308.2,1301,66.3,42,1
1,299.5,309.4,1390,58.8,195,1
1,299.3,308.9,1258,69.4,119,1
2,299.6,309.2,1867,23.4,225,1
1,299.5,308.7,2549,13.0,179,1
2,299.3,308.4,1542,37.5,203,1
1,299.4,308.7,1446,62.9,134,1
1,299.3,308.6,1384,53.6,218,1
1,299.2,308.5,1378,50.4,220,1
2,298.9,308.2,1372,63.6,30,1
1,299.2,308.6,1267,68.2,76,1
1,299.1,308.8,1329,53.6,207,1
1,299.2,309.0,1515,48.9,228,1
1,299.2,309.1,1345,60.7,191,1
1,299.1,308.8,1320,67.5,20,1
2,299.7,309.3,1399,41.9,221,1
2,299.7,309.2,1685,28.9,179,1
1,299.8,309.3,1299,65.1,212,1
1,300.5,309.3,1417,51.5,231,1
0,300.6,309.4,1380,47.6,246,1
2,300.6,309.4,1367,63.2,45,1
2,300.7,309.6,1996,19.8,203,1
0,300.5,309.8,1324,72.8,159,1
1,300.5,309.8,1379,54.2,207,1
0,300.4,309.9,2563,12.8,81,1
2,300.8,309.4,1342,62.4,113,1
1,301.3,310.1,1269,56.8,195,1
1,301.4,310.8,1285,62.6,183,1
1,301.6,310.8,1355,57.8,195,1
1,301.5,310.9,2760,8.0,15,1
2,301.5,310.4,2639,12.0,21,1
1,302.0,310.9,1378,53.1,212,1
1,301.9,310.9,1567,39.0,214,1
1,301.8,310.6,2672,11.8,124,1
1,301.7,310.9,1405,46.4,207,1
1,302.0,311.2,1270,65.3,182,1
1,302.2,311.3,1530,37.3,207,1
1,302.3,310.9,1377,46.8,166,1
1,302.3,310.8,1377,47.3,22,1
1,302.3,310.9,1379,49.3,34,1
2,302.3,310.9,1360,44.0,67,1
2,302.1,310.6,1326,59.1,88,1
0,302.3,310.9,1366,48.4,130,1
1,302.4,311.0,1338,67.6,194,1
0,302.6,311.5,1629,34.4,228,1
2,302.7,311.6,2709,9.7,2,1
1,302.6,311.5,1442,59.8,169,1
2,302.6,311.6,1227,68.2,187,1
1,302.3,311.4,1333,66.7,205,1
1,302.1,311.2,1454,59.2,153,1
2,302.1,311.0,1351,60.3,207,1
1,302.0,310.8,1383,50.3,231,1
1,302.0,310.8,1615,29.0,235,1
2,301.9,310.9,1419,47.7,20,1
1,301.9,311.0,2691,12.1,31,1
1,301.9,310.6,1331,68.6,85,1
0,302.1,310.7,1294,62.4,101,1
1,302.0,310.4,1357,58.0,108,1
1,302.0,310.4,1336,58.2,110,1
1,301.9,310.4,1376,54.9,126,1
1,301.9,310.4,1370,51.7,153,1
1,301.9,310.5,1340,55.7,204,1
1,302.1,310.7,1325,45.1,208,1
2,302.1,310.7,1376,46.3,210,1
2,302.1,310.7,1364,47.8,213,1
1,301.9,310.4,1286,62.8,22,1
1,301.7,310.2,1311,57.4,40,1
1,301.7,310.2,1331,61.2,47,1
2,301.9,310.4,1373,48.0,73,1
2,302.0,310.4,1212,55.6,79,1
1,302.0,310.5,1370,44.4,85,1
1,302.0,310.5,1263,60.6,90,1
1,302.2,310.6,1346,47.5,109,1
2,302.2,310.6,1355,51.5,126,1
2,302.2,310.6,1346,49.2,134,1
1,302.4,310.9,1349,46.1,148,1
1,302.4,310.7,1362,54.8,155,1
1,302.2,310.6,1334,53.2,159,1
1,302.2,310.6,1348,48.4,161,1
2,302.3,310.9,1710,30.4,218,1
1,302.1,310.7,1314,52.8,8,1
1,302.1,310.7,1359,49.3,41,1
1,302.6,311.0,1369,60.0,93,1
1,302.5,310.9,1330,56.9,97,1
0,302.5,310.9,1356,55.5,101,1
2,302.6,311.0,1329,48.6,111,1
1,302.6,311.0,1284,68.0,114,1
2,302.7,311.1,1297,60.7,125,1
1,302.6,310.9,1331,52.0,154,1
1,302.0,310.1,1361,45.4,174,1
1,301.9,309.9,1374,48.5,180,1
2,301.8,309.9,1334,61.0,182,1
1,301.7,309.9,1317,49.0,187,1
2,301.8,310.1,2372,13.9,205,1
1,301.8,310.2,2825,5.8,215,1
1,301.4,309.9,1259,63.9,20,1
1,301.8,310.3,1341,50.5,64,1
1,301.6,310.1,1362,55.8,70,1
1,301.6,310.1,1326,48.2,77,1
2,301.7,309.8,1284,68.2,111,1
2,302.0,309.7,1386,62.7,142,1
0,302.0,309.8,1280,57.3,147,1
2,302.1,310.1,1379,48.2,166,1
1,302.0,309.9,1308,57.6,197,1
1,301.7,309.5,1298,65.5,229,1
1,301.8,309.7,1442,45.3,233,1
2,302.1,310.0,1355,45.1,6,1
2,302.2,310.1,1368,51.6,12,1
1,302.3,310.1,1353,50.9,36,1
1,302.4,310.2,1331,45.5,53,1
1,302.5,310.3,1326,58.5,55,1
2,302.4,310.1,1358,54.6,61,1
1,302.6,310.4,1365,66.8,80,1
2,302.6,310.2,2676,10.8,84,1
1,302.6,310.2,1325,62.4,92,1
2,302.4,310.1,1379,48.9,107,1
1,302.3,310.1,1321,52.7,134,1
1,302.5,310.2,1329,50.6,148,1
1,302.4,310.3,1374,51.2,163,1
2,302.4,310.3,1378,54.3,165,1
1,302.7,310.5,1263,67.8,197,1
1,302.7,310.5,1446,40.9,211,1
1,302.7,310.5,1351,41.8,10,1
0,302.7,310.4,1305,55.2,20,1
1,302.6,310.4,1359,57.2,67,1
1,302.5,310.2,1307,54.0,86,1
1,302.4,310.2,1346,62.4,106,1
2,302.4,310.5,1372,45.7,144,1
2,302.4,310.3,1375,52.5,161,1
1,302.4,310.2,1351,45.1,168,1
1,302.5,310.4,1349,55.1,187,1
2,302.7,310.6,1349,51.2,6,1
1,302.7,310.7,1369,47.5,11,1
0,302.7,310.8,1275,55.0,25,1
1,302.8,310.9,1312,52.2,40,1
1,303.0,311.2,1374,48.2,65,1
1,303.0,311.2,1361,47.6,106,1
1,303.0,311.0,1359,44.2,115,1
2,303.0,311.1,1372,54.3,117,1
1,303.0,311.3,1365,56.2,146,1
2,303.0,311.3,1335,53.6,164,1
1,303.1,311.3,1336,52.6,172,1
1,303.0,311.2,1341,51.0,174,1
2,302.9,311.2,1330,53.7,200,1
1,303.2,311.4,1238,54.6,226,1
1,303.2,311.4,1324,54.2,228,1
1,303.3,311.4,1497,46.0,234,1
1,303.2,311.4,1349,51.1,9,1
1,303.3,311.3,1350,48.1,32,1
2,303.4,311.4,1307,54.0,44,1
2,303.3,311.5,1373,47.3,60,1
2,303.6,311.8,1421,44.8,101,1
1,303.6,311.8,1222,66.8,148,1
1,303.3,311.6,1337,56.8,187,1
2,303.4,311.7,1353,44.1,192,1
1,303.4,311.8,1366,50.9,200,1
2,303.4,311.8,1341,47.0,210,1
1,303.4,311.8,1306,61.0,215,1
1,303.3,311.6,1301,45.1,219,1
2,303.2,311.5,1336,58.2,2,1
1,303.2,311.4,1351,53.8,8,1
1,303.2,311.2,1363,46.7,29,1
1,303.4,311.7,1295,51.3,51,1
1,303.5,311.6,1361,46.5,62,1
0,303.7,311.9,1332,52.7,66,1
2,303.7,312.0,2663,11.4,71,1
1,303.6,312.0,1309,52.9,86,1
1,303.5,311.9,1344,49.3,93,1
0,303.6,312.2,1371,54.6,112,1
1,303.4,311.8,1401,53.0,208,1
1,303.4,312.0,1521,35.9,215,1
1,303.5,312.0,1366,54.5,30,1
1,303.4,311.9,1377,41.6,34,1
1,303.3,311.8,1315,62.0,42,1
1,303.4,311.9,1298,63.9,59,1
2,303.4,311.8,1316,50.9,69,1
1,303.7,312.1,1363,51.8,90,1
1,303.4,312.2,1337,69.4,52,1
1,303.5,312.4,1284,70.6,94,1
1,303.7,312.7,1359,56.8,194,1
1,303.8,313.1,1256,58.7,213,1
1,303.8,313.1,2497,13.0,5,1
2,303.6,312.8,2659,11.4,26,1
0,304.0,313.2,1271,68.6,161,1
1,304.0,312.9,1363,62.5,200,1
1,304.4,313.7,1509,35.0,205,1
1,303.8,313.0,1365,59.9,205,1
2,303.9,313.2,1422,48.0,215,1
2,303.4,312.6,2706,9.8,65,1
2,302.8,312.3,1262,70.5,234,1
0,302.8,312.4,1411,53.8,246,1
1,302.7,312.4,1477,46.3,251,1
2,302.6,312.3,1454,54.8,253,1
1,302.7,312.2,1450,52.1,213,1
1,302.6,312.1,1288,68.5,0,1
2,302.3,311.8,1363,54.0,119,1
2,303.0,312.2,1257,71.3,122,1
1,303.1,312.4,1404,61.5,127,1
1,302.4,311.9,1290,70.0,139,1
1,302.3,311.8,1369,56.2,208,1
0,300.7,310.2,1364,65.3,208,1
1,300.6,310.7,1438,48.5,78,1
2,300.4,310.2,1671,30.5,234,1
1,300.7,310.9,1356,65.3,66,1
1,300.8,310.7,1339,59.1,203,1
1,301.0,311.1,1236,64.4,177,1
1,301.0,311.0,1399,58.0,190,1
1,300.8,310.6,1577,37.9,227,1
1,301.1,310.9,1282,67.9,10,1
1,300.8,310.1,1405,61.2,189,1
1,301.0,310.5,1379,57.3,204,1
1,301.0,310.6,1493,37.8,206,1
0,300.5,309.9,1397,45.9,210,1
0,300.3,309.9,1394,46.7,210,1
1,300.5,309.8,1663,29.1,145,1
1,300.8,309.9,1312,65.3,192,1
1,301.1,310.4,1312,73.6,49,1
2,301.4,310.7,1368,63.7,92,1
2,301.6,310.6,1309,65.8,75,1
1,301.6,310.7,1380,51.8,216,1
2,301.5,310.7,1336,65.6,0,1
1,301.7,311.0,1441,44.3,208,1
2,301.1,310.7,2636,12.2,100,1
1,301.2,311.6,1461,52.9,208,1
1,300.8,311.4,1322,67.2,18,1
1,300.7,311.1,2478,13.4,170,1
1,300.5,310.5,2633,12.2,17,1
1,300.7,310.4,1416,61.8,209,1
1,300.6,310.3,1648,30.5,217,1
1,300.3,310.3,1362,60.3,206,1
1,299.9,310.2,1288,69.6,62,1
2,300.0,311.4,1692,29.0,216,1
1,300.6,311.9,1372,60.1,212,1
1,300.5,311.8,1524,38.9,214,1
1,300.1,311.3,2579,12.5,64,1
2,300.3,311.2,1381,65.2,136,1
1,300.2,311.0,1255,71.8,149,1
2,300.5,311.1,1296,61.3,202,1
1,300.5,311.2,1270,67.5,208,1
1,300.7,311.8,1336,58.4,189,1
2,300.7,311.7,2097,18.9,232,1
1,300.5,311.8,1368,57.9,191,1
1,300.4,311.8,1272,59.2,198,1
1,300.4,311.6,1200,76.6,3,1
2,300.3,311.7,1374,47.9,222,1
1,300.8,312.4,1465,59.1,91,1
1,300.7,311.9,1335,57.1,194,1
2,301.0,312.2,2710,9.7,143,1
1,300.7,311.9,1399,50.2,222,1
2,300.4,311.8,1553,33.1,209,1
1,299.6,310.9,1229,65.2,209,1
1,299.4,310.8,1376,53.9,215,1
1,299.2,310.7,1737,27.0,225,1
2,299.0,310.3,1303,68.6,111,1
2,298.7,310.1,1402,69.7,64,1
1,298.5,309.5,1385,46.3,203,1
1,298.5,309.7,2617,12.1,102,1
1,298.7,309.8,1181,65.9,203,1
1,298.4,309.6,1710,27.3,163,1
2,297.5,308.1,1334,72.0,151,1
1,297.4,308.4,1369,50.6,220,1
1,297.4,308.3,1475,40.5,222,1
1,297.1,308.5,1323,44.4,207,1
2,297.4,308.8,1325,62.4,204,1
2,297.3,308.3,1459,59.6,207,1
2,297.2,308.1,1340,61.3,207,1
1,297.2,308.1,1431,49.7,210,1
1,297.3,308.2,1396,52.7,212,1
1,297.3,308.1,1615,35.4,217,1
1,297.2,307.9,1326,75.4,172,1
1,297.8,308.9,1871,25.6,200,1
